timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:55:47.087, 103.64 W, 100 %
2026/05/28 02:55:47.196, 102.76 W, 100 %
2026/05/28 02:55:47.303, 103.43 W, 100 %
2026/05/28 02:55:47.406, 104.11 W, 100 %
2026/05/28 02:55:47.510, 105.08 W, 100 %
2026/05/28 02:55:47.616, 103.85 W, 100 %
2026/05/28 02:55:47.724, 106.47 W, 100 %
2026/05/28 02:55:47.827, 105.80 W, 100 %
2026/05/28 02:55:47.931, 104.66 W, 100 %
2026/05/28 02:55:48.037, 104.01 W, 100 %
2026/05/28 02:55:48.144, 104.38 W, 100 %
2026/05/28 02:55:48.247, 103.32 W, 100 %
2026/05/28 02:55:48.350, 103.71 W, 100 %
2026/05/28 02:55:48.458, 102.88 W, 100 %
2026/05/28 02:55:48.565, 105.53 W, 100 %
2026/05/28 02:55:48.668, 106.10 W, 100 %
2026/05/28 02:55:48.771, 108.32 W, 100 %
2026/05/28 02:55:48.878, 109.92 W, 100 %
2026/05/28 02:55:48.986, 110.41 W, 100 %
2026/05/28 02:55:49.090, 110.78 W, 100 %
2026/05/28 02:55:49.193, 110.20 W, 100 %
2026/05/28 02:55:49.299, 111.93 W, 100 %
2026/05/28 02:55:49.407, 109.15 W, 100 %
2026/05/28 02:55:49.510, 108.90 W, 100 %
2026/05/28 02:55:49.614, 108.13 W, 100 %
2026/05/28 02:55:49.721, 107.10 W, 100 %
2026/05/28 02:55:49.824, 106.58 W, 100 %
2026/05/28 02:55:49.928, 107.15 W, 100 %
2026/05/28 02:55:50.031, 108.38 W, 100 %
2026/05/28 02:55:50.134, 109.53 W, 100 %
2026/05/28 02:55:50.242, 107.71 W, 100 %
2026/05/28 02:55:50.349, 110.39 W, 100 %
2026/05/28 02:55:50.452, 111.64 W, 100 %
2026/05/28 02:55:50.555, 108.59 W, 100 %
2026/05/28 02:55:50.662, 109.53 W, 100 %
2026/05/28 02:55:50.770, 109.09 W, 100 %
2026/05/28 02:55:50.873, 107.90 W, 100 %
2026/05/28 02:55:50.977, 110.39 W, 100 %
2026/05/28 02:55:51.083, 112.12 W, 100 %
2026/05/28 02:55:51.190, 110.01 W, 100 %
2026/05/28 02:55:51.293, 110.59 W, 100 %
2026/05/28 02:55:51.396, 107.95 W, 100 %
2026/05/28 02:55:51.504, 111.74 W, 100 %
2026/05/28 02:55:51.611, 109.92 W, 100 %
2026/05/28 02:55:51.714, 107.08 W, 100 %
2026/05/28 02:55:51.817, 104.32 W, 100 %
2026/05/28 02:55:51.925, 103.26 W, 100 %
2026/05/28 02:55:52.033, 105.35 W, 100 %
2026/05/28 02:55:52.136, 102.63 W, 100 %
2026/05/28 02:55:52.239, 104.79 W, 100 %
2026/05/28 02:55:52.346, 103.63 W, 100 %
2026/05/28 02:55:52.453, 105.18 W, 100 %
2026/05/28 02:55:52.556, 104.32 W, 100 %
2026/05/28 02:55:52.660, 103.55 W, 100 %
2026/05/28 02:55:52.766, 102.96 W, 100 %
2026/05/28 02:55:52.874, 105.14 W, 100 %
2026/05/28 02:55:52.977, 59.26 W, 100 %
2026/05/28 02:55:53.080, 38.26 W, 100 %
2026/05/28 02:55:53.187, 38.16 W, 24 %
2026/05/28 02:55:53.290, 38.16 W, 0 %
2026/05/28 02:55:53.393, 37.97 W, 0 %
