timestamp, power.draw [W], utilization.gpu [%]
2026/05/28 02:55:05.623, 58.20 W, 100 %
2026/05/28 02:55:05.726, 58.30 W, 100 %
2026/05/28 02:55:05.829, 58.09 W, 100 %
2026/05/28 02:55:05.932, 58.30 W, 100 %
2026/05/28 02:55:06.035, 58.30 W, 100 %
2026/05/28 02:55:06.138, 58.20 W, 100 %
2026/05/28 02:55:06.245, 58.20 W, 100 %
2026/05/28 02:55:06.348, 58.10 W, 100 %
2026/05/28 02:55:06.451, 58.49 W, 100 %
2026/05/28 02:55:06.554, 58.20 W, 100 %
2026/05/28 02:55:06.657, 58.19 W, 100 %
2026/05/28 02:55:06.760, 58.39 W, 100 %
2026/05/28 02:55:06.863, 58.30 W, 100 %
2026/05/28 02:55:06.966, 58.20 W, 100 %
2026/05/28 02:55:07.073, 58.39 W, 100 %
2026/05/28 02:55:07.176, 58.39 W, 100 %
2026/05/28 02:55:07.279, 58.20 W, 100 %
2026/05/28 02:55:07.382, 58.10 W, 100 %
2026/05/28 02:55:07.486, 58.39 W, 100 %
2026/05/28 02:55:07.589, 58.20 W, 100 %
2026/05/28 02:55:07.692, 58.39 W, 100 %
2026/05/28 02:55:07.795, 58.30 W, 100 %
2026/05/28 02:55:07.898, 58.38 W, 100 %
2026/05/28 02:55:08.009, 58.39 W, 100 %
2026/05/28 02:55:08.112, 58.49 W, 100 %
2026/05/28 02:55:08.215, 58.20 W, 100 %
2026/05/28 02:55:08.318, 58.49 W, 100 %
2026/05/28 02:55:08.421, 58.39 W, 100 %
2026/05/28 02:55:08.525, 58.30 W, 100 %
2026/05/28 02:55:08.628, 58.39 W, 100 %
2026/05/28 02:55:08.731, 58.20 W, 100 %
2026/05/28 02:55:08.834, 58.39 W, 100 %
2026/05/28 02:55:08.942, 58.39 W, 100 %
2026/05/28 02:55:09.045, 58.39 W, 100 %
2026/05/28 02:55:09.148, 58.39 W, 100 %
2026/05/28 02:55:09.252, 58.30 W, 100 %
2026/05/28 02:55:09.355, 58.30 W, 100 %
2026/05/28 02:55:09.458, 58.20 W, 100 %
2026/05/28 02:55:09.561, 58.30 W, 100 %
2026/05/28 02:55:09.664, 58.28 W, 100 %
2026/05/28 02:55:09.767, 58.39 W, 100 %
2026/05/28 02:55:09.870, 58.39 W, 100 %
2026/05/28 02:55:09.973, 58.58 W, 100 %
2026/05/28 02:55:10.081, 58.39 W, 100 %
2026/05/28 02:55:10.184, 58.49 W, 100 %
2026/05/28 02:55:10.287, 58.30 W, 100 %
2026/05/28 02:55:10.390, 58.49 W, 100 %
2026/05/28 02:55:10.493, 58.39 W, 100 %
2026/05/28 02:55:10.597, 58.39 W, 100 %
2026/05/28 02:55:10.700, 58.30 W, 100 %
2026/05/28 02:55:10.803, 58.49 W, 100 %
