S,latency_mean_ms,latency_std_ms,gflops,peak_mem_mb
1024,0.2623,0.7195,1023.31,0.52
2048,0.2989,0.0189,3591.9,1.05
4096,0.518,0.0332,8291.25,2.1
8192,1.0703,0.034,16051.93,4.19
16384,4.5895,0.1712,14973.15,8.39
