name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,512,512,78,20447232,102236.160000,2147483648,0.021005,0.420103,21.005128
AttnV,4096,4096,64,512,8,4110,16834560,84172.800000,2147483648,0.025513,0.510256,25.512798
Total matmul,0,0,0,0,0,0,37281792,186408.960000,4294967296,0.023041,0.460811,23.040563
