name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,512,512,86,22544384,225443.840000,2147483648,0.009526,0.763470,4.176044
AttnV,4096,4096,64,512,8,4521,18518016,185180.160000,2147483648,0.011597,0.929471,5.084041
Total matmul,0,0,0,0,0,0,41062400,410624.000000,4294967296,0.010460,0.838332,4.585526
