array,total_cycles,latency_ms,tops,tops_per_watt,gops_per_mm2
4x4,140607488,1406.075,0.003055,0.724252,43.636848
8x8,37281792,372.818,0.011520,0.923344,5.050527
16x16,10385408,103.854,0.041356,1.033703,4.536746
