name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,512,512,86,22544384,112721.920000,2147483648,0.019051,0.381023,19.051163
AttnV,4096,4096,64,512,8,4521,18518016,92590.080000,2147483648,0.023193,0.463869,23.193453
Total matmul,0,0,0,0,0,0,41062400,205312.000000,4294967296,0.020919,0.418384,20.919222
