name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,1024,1024,10,10485760,52428.800000,2147483648,0.040960,0.819200,40.960000
AttnV,4096,4096,64,1024,16,10,163840,819.200000,2147483648,2.621440,52.428800,2621.440000
Total matmul,0,0,0,0,0,0,10649600,53248.000000,4294967296,0.080660,1.613194,80.659692
