name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,1024,1024,70,73400320,367001.600000,2147483648,0.005851,0.117029,5.851429
AttnV,4096,4096,64,1024,16,4102,67207168,336035.840000,2147483648,0.006391,0.127813,6.390639
Total matmul,0,0,0,0,0,0,140607488,703037.440000,4294967296,0.006109,0.122183,6.109159
