name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,512,512,78,20447232,204472.320000,2147483648,0.010503,0.841774,4.604357
AttnV,4096,4096,64,512,8,4110,16834560,168345.600000,2147483648,0.012756,1.022418,5.592445
Total matmul,0,0,0,0,0,0,37281792,372817.920000,4294967296,0.011520,0.923344,5.050527
