system,workload,precision,latency_ms,throughput_gflops_or_gops,power_w,efficiency_gflops_or_gops_per_w,area_mm2,notes
8x8 systolic array RTL-informed model,"S=4096, D=64, matmul only","INT8 input, ~20-bit accumulation",372.818,11.520,0.012477,923.344,2.281,Uses measured 8x8 RTL PPA; softmax excluded
NVIDIA TITAN V PyTorch SDPA,"S=4096, D=64, full SDPA",FP16,0.516,8322.000,80.700,103.100,N/A,Member A GPU baseline; includes optimized PyTorch SDPA path
