name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,256,256,94,6160384,61603.840000,2147483648,0.034860,0.871328,3.824108
AttnV,4096,4096,64,256,4,4126,4225024,42250.240000,2147483648,0.050828,1.270458,5.575821
Total matmul,0,0,0,0,0,0,10385408,103854.080000,4294967296,0.041356,1.033703,4.536746
