name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,512,512,94,24641536,123207.680000,2147483648,0.017430,0.348596,17.429787
AttnV,4096,4096,64,512,8,4932,20201472,101007.360000,2147483648,0.021261,0.425213,21.260665
Total matmul,0,0,0,0,0,0,44843008,224215.040000,4294967296,0.019156,0.383111,19.155572
