name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,1024,1024,70,73400320,734003.200000,2147483648,0.002926,0.693698,41.795918
AttnV,4096,4096,64,1024,16,4102,67207168,672071.680000,2147483648,0.003195,0.757622,45.647419
Total matmul,0,0,0,0,0,0,140607488,1406074.880000,4294967296,0.003055,0.724252,43.636848
