name,m,k,n,tiles_m,tiles_n,cycles_per_output_tile,total_cycles,latency_us,ops,tops,tops_per_watt,gops_per_mm2
QK^T,4096,64,4096,512,512,94,24641536,246415.360000,2147483648,0.008715,0.698494,3.820636
AttnV,4096,4096,64,512,8,4932,20201472,202014.720000,2147483648,0.010630,0.852015,4.660371
Total matmul,0,0,0,0,0,0,44843008,448430.080000,4294967296,0.009578,0.767654,4.198931
